Vgs,L1,Id,gm,cgs,ro,gm/id,gm/cgs,gmro,Id/W
1.03,0.25,0.000709969,0.002986856,1.26E-14,8605.548341,4.207023124,2.38E+11,25.7035337,70.9969
1.02,0.25,0.000680243,0.002958095,1.25E-14,8896.330175,4.348585726,2.36E+11,26.31618981,68.0243
1.01,0.25,0.000650811,0.002928018,1.25E-14,9204.907689,4.499029672,2.34E+11,26.9521354,65.0811
1,0.25,0.000621687,0.002896521,1.25E-14,9532.924816,4.65913072,2.32E+11,27.61231692,62.1687
0.99,0.25,0.000592886,0.002863484,1.24E-14,9882.262722,4.829737926,2.30E+11,28.29770119,59.2886
0.98,0.25,0.000564423,0.002828771,1.24E-14,10255.065,5.011792574,2.28E+11,29.00923048,56.4423
0.97,0.25,0.000536317,0.002792225,1.23E-14,10653.75148,5.206295903,2.26E+11,29.74767122,53.6317
0.96,0.25,0.000508585,0.00275367,1.23E-14,11081.11085,5.414375178,2.24E+11,30.51372252,50.8585
0.95,0.25,0.000481251,0.002712906,1.23E-14,11540.35194,5.637195559,2.21E+11,31.30789001,48.1251
0.94,0.25,0.000454335,0.002669714,1.22E-14,12035.17883,5.87609143,2.19E+11,32.13048541,45.4335
0.93,0.25,0.000427865,0.002623847,1.22E-14,12569.89806,6.132417936,2.16E+11,32.98148932,42.7865
0.92,0.25,0.000401868,0.002575037,1.21E-14,13149.53786,6.407668687,2.13E+11,33.86054652,40.1868
0.91,0.25,0.000376375,0.002522996,1.21E-14,13779.99819,6.703410163,2.09E+11,34.76688033,37.6375
0.9,0.25,0.00035142,0.002467418,1.20E-14,14468.23939,7.021279381,2.06E+11,35.69919431,35.142
0.89,0.25,0.00032704,0.002407984,1.19E-14,15222.50971,7.362964775,2.02E+11,36.65555982,32.704
0.88,0.25,0.000303274,0.002344375,1.19E-14,16052.63982,7.730220856,1.98E+11,37.63340747,30.3274
0.87,0.25,0.000280167,0.002276279,1.18E-14,16970.40294,8.124722041,1.93E+11,38.62937183,28.0167
0.86,0.25,0.000257765,0.002203405,1.17E-14,17989.9634,8.548115532,1.88E+11,39.6391753,25.7765
0.85,0.25,0.000236116,0.002125509,1.17E-14,19128.45407,9.001969371,1.82E+11,40.65770129,23.6116
0.84,0.25,0.000215272,0.002042408,1.16E-14,20406.68899,9.487569215,1.76E+11,41.67878484,21.5272
0.83,0.25,0.000195285,0.001954014,1.15E-14,21850.07657,10.00596052,1.70E+11,42.69535553,19.5285
0.82,0.25,0.000176209,0.001860356,1.14E-14,23489.77208,10.55766732,1.63E+11,43.69933843,17.6209
0.81,0.25,0.000158095,0.001761614,1.13E-14,25364.12098,11.14275594,1.56E+11,44.68179062,15.8095
0.8,0.25,0.000140993,0.001658141,1.12E-14,27520.5372,11.7604491,1.48E+11,45.63293107,14.0993
0.79,0.25,0.000124946,0.001550495,1.11E-14,30017.86063,12.40932083,1.39E+11,46.54254281,12.4946
0.78,0.25,0.000109994,0.001439443,1.10E-14,32929.35599,13.08655927,1.31E+11,47.39993098,10.9994
0.77,0.25,9.62E-05,0.00132597,1.09E-14,36346.56009,13.78840251,1.21E+11,48.19444828,9.61656
0.76,0.25,8.35E-05,0.00121126,1.08E-14,40384.19912,14.50977433,1.12E+11,48.91576502,8.34789
0.75,0.25,7.19E-05,0.001096664,1.07E-14,45186.34396,15.2441479,1.03E+11,49.55423672,7.194
0.74,0.25,6.15E-05,0.000983646,1.06E-14,50934.39141,15.98375051,93229556053,50.10143075,6.15404
0.73,0.25,5.23E-05,0.000873716,1.04E-14,57856.97755,16.71966711,83875691191,50.55058436,5.22568
0.72,0.25,4.41E-05,0.000768342,1.03E-14,66242.62554,17.44214988,74768389401,50.89701789,4.40509
0.71,0.25,3.69E-05,0.000668867,1.01E-14,76455.522,18.14113024,66032904544,51.13858328,3.68702
0.7,0.25,3.07E-05,0.000576425,9.98E-15,88955.38798,18.80668842,57784476459,51.27610952,3.065
0.69,0.25,2.53E-05,0.000491876,9.81E-15,104321.7257,19.42992408,50116335819,51.31338445,2.53154
0.68,0.25,2.08E-05,0.000415765,9.65E-15,123284.9978,20.00371432,43098053687,51.25761177,2.07844
0.67,0.25,1.70E-05,0.000348307,9.47E-15,146764.3883,20.52338668,36771485792,51.1189904,1.69712
0.66,0.25,1.38E-05,0.000289402,9.29E-15,175915.6674,20.98685251,31150894370,50.91041635,1.37897
0.65,0.25,1.12E-05,0.000238685,9.10E-15,212191.5954,21.39536927,26224898231,50.64686608,1.11559
0.64,0.25,8.99E-06,0.000195574,8.91E-15,257418.545,21.75312715,21960824606,50.34440027,0.899062
0.63,0.25,7.22E-06,0.00015935,8.70E-15,313895.4615,22.06627238,18310005780,50.01911623,0.722141
0.62,0.25,5.78E-06,0.000129215,8.49E-15,384521.9162,22.34275468,15213451714,49.68611476,0.578332
0.61,0.25,4.62E-06,0.000104359,8.28E-15,472965.3033,22.59101073,12607324758,49.35837527,0.461951
0.6,0.25,3.68E-06,8.40E-05,8.06E-15,583879.5527,22.81908914,10427395339,49.04616852,0.368115
0.59,0.25,2.93E-06,6.74E-05,7.83E-15,723190.2526,23.03401528,8612442930,48.75656114,0.292692
0.58,0.25,2.32E-06,5.40E-05,7.60E-15,898466.1386,23.24112422,7106422086,48.49341604,0.232233
0.57,0.25,1.84E-06,4.31E-05,7.36E-15,1119402.15,23.44415803,5859621485,48.2577513,0.183885
0.56,0.25,1.45E-06,3.44E-05,7.12E-15,1398446.494,23.64484894,4828965362,48.04828612,0.14531
0.55,0.25,1.15E-06,2.73E-05,6.87E-15,1751611.044,23.84409714,3977817083,47.86210617,0.114597
0.54,0.25,9.02E-07,2.17E-05,6.62E-15,2199521.208,24.0413032,3275364968,47.69527569,0.0901964
0.53,0.25,7.09E-07,1.72E-05,6.37E-15,2768775.412,24.23518901,2695915458,47.54350092,0.0708528
0.52,0.25,5.56E-07,1.36E-05,6.12E-15,3493706.088,24.4243668,2218153639,47.40253433,0.055551
0.51,0.25,4.35E-07,1.07E-05,5.86E-15,4418657.161,24.60719207,1824424786,47.26840824,0.0434729
0.5,0.25,3.40E-07,8.42E-06,5.61E-15,5600941.854,24.78225265,1500123524,47.1378235,0.03396
0.49,0.25,2.65E-07,6.61E-06,5.36E-15,7114677.936,24.9483452,1233161874,47.00806449,0.0264835
0.48,0.25,2.06E-07,5.18E-06,5.11E-15,9055748.091,25.10446755,1013533580,46.87699849,0.0206198
0.47,0.25,1.60E-07,4.05E-06,4.86E-15,11548253.57,25.25019806,832950637.8,46.74308069,0.0160301
0.46,0.25,1.24E-07,3.16E-06,4.61E-15,14752878.95,25.38523042,684553759.9,46.60530354,0.0124445
0.45,0.25,9.65E-08,2.46E-06,4.37E-15,18877748.08,25.50929266,562659653,46.46302736,0.00964848
0.44,0.25,7.47E-08,1.91E-06,4.14E-15,24192502.65,25.62279085,462571247,46.3159657,0.00747177
0.43,0.25,5.78E-08,1.49E-06,3.91E-15,31046596.28,25.72605565,380406724.3,46.16411541,0.00577986
0.42,0.25,4.47E-08,1.15E-06,3.69E-15,39893022.87,25.81952551,312964179.1,46.00754616,0.00446667
0.41,0.25,3.45E-08,8.93E-07,3.47E-15,51319132.65,25.90376017,257604960.8,45.84665022,0.00344878
